Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Answers,Members,_version:1,_order:1001,
3a978746-d2ce-43ba-a025-c72331ce14af,,,Eczema,Eczéma,Eczema,Eczéma,"A condition that makes the skin inflamed, red, and itchy","Une condition qui rend la peau enflammée, rouge et irritée",Diagnosis,N/A,,,,,
0a63773b-7b29-40fb-9c8e-96f77d603f99,,,Gout,Gout,Gout,Gout,"A type of arthritis characterized by sudden, severe attacks of pain, redness, and tenderness in joints","Un type d'arthrite caractérisé par des crises soudaines et sévères de douleur, de rougeur et de sensibilité dans les articulations",Diagnosis,N/A,,,,,
a487524e-11d8-46f7-9bc2-61ed83bd6f74,,,Hepatitis B,Hépatite B,Hepatitis B,Hépatite B,A viral infection that attacks the liver and can cause both acute and chronic diseases,Une infection virale qui attaque le foie et peut provoquer des maladies aiguës et chroniques,Diagnosis,N/A,,,,,
bf51a199-7dc1-4b79-abda-13be57765ccb,,,Hyperlipidemia,Hyperlipidémie,Hyperlipidemia,Hyperlipidémie,A condition where there are high levels of lipids in the blood,Une condition où il y a des niveaux élevés de lipides dans le sang,Diagnosis,N/A,,,,,
1ce4c0ef-37f8-4814-8ae6-fe8e6bd3b799,,,Influenza (Seasonal Flu),Grippe saisonnière,Seasonal Flu,Grippe saisonnière,A contagious respiratory illness caused by influenza viruses,Une maladie respiratoire contagieuse causée par des virus de la grippe,Diagnosis,N/A,,,,,
45e696d3-158e-4e18-ab46-8082375e04dd,,,Multiple Sclerosis,Sclérose en plaques,MS,SEP,A disease in which the immune system attacks the protective sheath (myelin) covering nerve fibers,Une maladie dans laquelle le système immunitaire attaque la gaine protectrice (myéline) couvrant les fibres nerveuses,Diagnosis,N/A,,,,,
88d65272-4348-4d8a-88a3-e91abf604a2b,,,Osteoporosis,Ostéoporose,Osteoporosis,Ostéoporose,A condition characterized by weakened bones that are more susceptible to fractures,Une condition caractérisée par des os affaiblis plus susceptibles aux fractures,Diagnosis,N/A,,,,,
25a9b382-6660-4d7d-8ba6-63cce9976519,,,Parkinson’s Disease,Maladie de Parkinson,Parkinson’s,Parkinson,A progressive neurological disorder that affects movement control,Un trouble neurologique progressif qui affecte le contrôle des mouvements,Diagnosis,N/A,,,,,
9f12907d-5d7b-4344-8616-18d5f2946f8f,,,Psoriasis,Psoriasis,Psoriasis,Psoriasis,"A skin condition that causes red, itchy, scaly patches on the skin","Une condition cutanée qui provoque des plaques rouges, prurigineuses et squameuses sur la peau",Diagnosis,N/A,,,,,
1de1a88a-7d95-47ff-892e-e30d0523a6d9,,,Rheumatic Fever,Fièvre rhumatismale,Rheumatic Fever,Fièvre rhumatismale,An inflammatory disease that can develop after a streptococcal infection,Une maladie inflammatoire qui peut se développer après une infection streptococcique,Diagnosis,N/A,,,,,
66672d09-e92b-4660-b1a3-00d6a5c58bc6,,,Systemic Lupus Erythematosus,Lupus érythémateux systémique,SLE,LES,"A chronic autoimmune disease that can affect the skin, joints, kidneys, and other organs","Une maladie auto-immune chronique qui peut affecter la peau, les articulations, les reins et d’autres organes",Diagnosis,N/A,,,,,
57ddb4ef-503f-4144-b8d9-a320335f0f93,,,Ulcerative Colitis,Colite ulcéreuse,Ulcerative Colitis,Colite ulcéreuse,A chronic inflammatory bowel disease that causes inflammation and sores in the colon,Une maladie inflammatoire chronique de l'intestin qui provoque une inflammation et des ulcères dans le côlon,Diagnosis,N/A,,,,,
a7e02bf0-b7b3-4bc5-8a95-2753daa65a03,,,Acute Bronchitis,Bronchite aiguë,Acute Bronchitis,Bronchite aiguë,Inflammation of the bronchial tubes usually caused by an infection,Inflammation des bronches généralement causée par une infection,Diagnosis,N/A,,,,,
232255a9-3878-4ac2-9467-e87f389a3c4a,,,Acute Sinusitis,Sinusite aiguë,Acute Sinusitis,Sinusite aiguë,Inflammation of the sinuses causing facial pain and nasal congestion,Inflammation des sinus provoquant des douleurs faciales et une congestion nasale,Diagnosis,N/A,,,,,
826c8acd-155b-42ca-b38a-68ab89260a51,,,Adenoiditis,Adénoïdite,Adenoiditis,Adénoïdite,"Inflammation of the adenoids, often due to infection","Inflammation des végétations, souvent due à une infection",Diagnosis,N/A,,,,,
3a5ea73d-a5c2-4bf9-b337-1cedef09522c,,,Aortic Aneurysm,Anévrisme de l’aorte,Aortic Aneurysm,Anévrisme de l’aorte,"An abnormal bulge in the wall of the aorta, which can be life-threatening","Une bosse anormale dans la paroi de l'aorte, qui peut être menaçante pour la vie",Diagnosis,N/A,,,,,
17b1e96d-c00f-4ad0-902f-2b4c1c1f34ba,,,Atopic Dermatitis,Dermatite atopique,Atopic Dermatitis,Dermatite atopique,"A chronic skin condition characterized by itchy, inflamed skin",Une condition cutanée chronique caractérisée par une peau irritée et enflammée,Diagnosis,N/A,,,,,
7f813ea5-bf15-4734-b38e-dff927339e7f,,,Benign Skin Lesion,Lésion cutanée bénigne,Benign Skin Lesion,Lésion cutanée bénigne,A non-cancerous growth on the skin,Une croissance non cancéreuse sur la peau,Diagnosis,N/A,,,,,
4c82a987-d5a4-4840-a008-0e1ca817790a,,,Bipolar Disorder,Trouble bipolaire,Bipolar Disorder,Trouble bipolaire,A mental health condition characterized by extreme mood swings,Une condition de santé mentale caractérisée par des sautes d'humeur extrêmes,Diagnosis,N/A,,,,,
99929a38-4243-46d5-9ac1-e824183571cd,,,Bronchial Asthma,Asthme bronchique,Bronchial Asthma,Asthme bronchique,"A respiratory condition causing wheezing, shortness of breath, and coughing","Une condition respiratoire provoquant des sifflements, un essoufflement et une toux",Diagnosis,N/A,,,,,
1e872847-87b3-4e71-bc9f-ddcb7e64f002,,,Chlamydia Infection,Infection à Chlamydia,Chlamydia Infection,Infection à Chlamydia,A sexually transmitted infection caused by the Chlamydia bacteria,Une infection sexuellement transmissible causée par la bactérie Chlamydia,Diagnosis,N/A,,,,,
b014eb5f-5d0f-4498-ba0c-8f9da13c0bf7,,,Congestive Heart Failure,Insuffisance cardiaque congestive,CHF,ICC,A condition in which the heart cannot pump blood effectively,Une condition dans laquelle le cœur ne peut pas pomper le sang efficacement,Diagnosis,N/A,,,,,
ff8dafb4-cd2b-4da7-bec6-34b2a807ff70,,,Crohn’s Disease,Maladie de Crohn,Crohn’s Disease,Maladie de Crohn,A type of inflammatory bowel disease that can affect any part of the digestive tract,Un type de maladie inflammatoire de l'intestin qui peut affecter n'importe quelle partie du tractus digestif,Diagnosis,N/A,,,,,
ffeaab04-adca-41f2-94c1-b58976f0fe01,,,Cystic Fibrosis,Fibrose kystique,Cystic Fibrosis,Fibrose kystique,A genetic disorder affecting the respiratory and digestive systems,Un trouble génétique affectant les systèmes respiratoire et digestif,Diagnosis,N/A,,,,,
e0e7010f-cd84-4e19-80ea-61d639d3ad08,,,Diabetes Mellitus Type 1,Diabète sucré de type 1,DM Type 1,DM Type 1,A chronic condition where the pancreas produces little or no insulin,Une condition chronique où le pancréas produit peu ou pas d'insuline,Diagnosis,N/A,,,,,
f33c6195-c069-41df-b9eb-e4b9c8699a8a,,,Down Syndrome,Syndrome de Down,Down Syndrome,Syndrome de Down,A genetic disorder caused by the presence of an extra chromosome 21,Un trouble génétique causé par la présence d'un chromosome 21 supplémentaire,Diagnosis,N/A,,,,,
f316d1f3-1de0-4b6f-8c46-26a0f7797a11,,,Epileptic Seizure,Crise épileptique,Epileptic Seizure,Crise épileptique,"A sudden, uncontrolled electrical disturbance in the brain",Une perturbation électrique soudaine et incontrôlée dans le cerveau,Diagnosis,N/A,,,,,
53a39d1a-ee73-4c3e-aa84-ba53085caf03,,,Fibromyalgia,Fibromyalgie,Fibromyalgia,Fibromyalgie,A condition characterized by widespread musculoskeletal pain,Une condition caractérisée par des douleurs musculosquelettiques généralisées,Diagnosis,N/A,,,,,
f4b8488b-2489-45ca-921e-95c772e39b8e,,,Gallstones,Calculs biliaires,Gallstones,Calculs biliaires,Hard deposits that form in the gallbladder and can cause pain,Dépôts durs qui se forment dans la vésicule biliaire et peuvent provoquer des douleurs,Diagnosis,N/A,,,,,
f734bbfe-edd2-4632-bc63-26d07ad8dad8,,,Gastroenteritis,Gastro-entérite,Gastroenteritis,Gastro-entérite,Inflammation of the stomach and intestines causing vomiting and diarrhea,Inflammation de l'estomac et des intestins provoquant des vomissements et de la diarrhée,Diagnosis,N/A,,,,,
6195768a-a347-4633-9128-fc5d1288efbf,,,Graves' Disease,Maladie de Graves,Graves' Disease,Maladie de Graves,An autoimmune disorder that causes overactivity of the thyroid gland,Un trouble auto-immun qui provoque une hyperactivité de la glande thyroïdienne,Diagnosis,N/A,,,,,
1843fa11-48c7-48d4-92b9-b82db84cec6d,,,Herpes Simplex,Herpès simplex,Herpes Simplex,Herpès simplex,A viral infection causing sores or blisters on the mouth or genitalia,Une infection virale causant des ampoules ou des lésions sur la bouche ou les organes génitaux,Diagnosis,N/A,,,,,
0b5cca8c-4ae7-4a91-8d54-0e37bed07edb,,,Influenza,Grippe,Influenza,Grippe,A contagious respiratory illness caused by influenza viruses,Une maladie respiratoire contagieuse causée par des virus de la grippe,Diagnosis,N/A,,,,,
dea5e9b4-6236-4068-aa1a-abaf63118455,,,Irritable Bowel Syndrome,Syndrome de l’intestin irritable,IBS,SII,A gastrointestinal disorder causing abdominal pain and changes in bowel habits,Un trouble gastro-intestinal causant des douleurs abdominales et des changements dans les habitudes intestinales,Diagnosis,N/A,,,,,
6f323b49-6727-441d-9e0a-ed0b8cca23d6,,,Kidney Stones,Calculs rénaux,Kidney Stones,Calculs rénaux,Hard deposits made of minerals and salts that form inside the kidneys,Dépôts durs faits de minéraux et de sels qui se forment à l'intérieur des reins,Diagnosis,N/A,,,,,
6eed21be-34e2-4665-b0ab-3b44b57a457e,,,Leukemia,Leucémie,Leukemia,Leucémie,A type of cancer that affects the blood and bone marrow,Un type de cancer qui affecte le sang et la moelle osseuse,Diagnosis,N/A,,,,,
d1ae41a0-310f-4dad-85b0-0e9e1610ea1f,,,Lyme Disease,Maladie de Lyme,Lyme Disease,Maladie de Lyme,"An infectious disease transmitted by ticks, causing fever, headache, and a characteristic rash","Une maladie infectieuse transmise par les tiques, provoquant de la fièvre, des maux de tête et une éruption cutanée caractéristique",Diagnosis,N/A,,,,,
2cf3ec03-c507-4914-a929-52c2f5617d8d,,,Meniere's Disease,Maladie de Ménière,Meniere's Disease,Maladie de Ménière,"A disorder of the inner ear causing vertigo, tinnitus, and hearing loss","Un trouble de l'oreille interne causant des vertiges, des acouphènes et une perte auditive",Diagnosis,N/A,,,,,
d90be7be-0541-4ffc-afb6-07bbf0807251,,,Migraine,Migraine,Migraine,Migraine,A severe headache often accompanied by nausea and sensitivity to light and sound,Un mal de tête sévère souvent accompagné de nausées et d'une sensibilité à la,Diagnosis,N/A,,,,,
d3c0311d-28df-4c33-ba5d-66cca200911b,,,Myocarditis,Myocarde,Myocarditis,Myocarde,"Inflammation of the heart muscle, often due to an infection","Inflammation du muscle cardiaque, souvent due à une infection",Diagnosis,N/A,,,,,
26a9cf40-b96c-4c6f-bcbf-34229dda593a,,,Nephritis,Néphrite,Nephritis,Néphrite,"Inflammation of the kidneys, which can affect kidney function","Inflammation des reins, pouvant affecter la fonction rénale",Diagnosis,N/A,,,,,
00c8628c-7d61-47f0-acf7-81f474c28b3a,,,Obesity,Obésité,Obesity,Obésité,A condition characterized by excessive body fat accumulation,Une condition caractérisée par une accumulation excessive de graisse corporelle,Diagnosis,N/A,,,,,
5f351b42-3f6f-40ec-9247-154f21833d41,,,Osteomyelitis,Ostéomyélite,Osteomyelitis,Ostéomyélite,An infection of the bone that can cause inflammation and pain,Une infection des os qui peut provoquer une inflammation et des douleurs,Diagnosis,N/A,,,,,
b471c1ec-53df-4cab-80c3-5ee9c65bb482,,,Peptic Ulcer Disease,Maladie ulcéreuse,Peptic Ulcer Disease,Maladie ulcéreuse,Sores that develop on the lining of the stomach or intestines,Des ulcères qui se développent sur la paroi de l'estomac ou des intestins,Diagnosis,N/A,,,,,
a8990b69-bd9e-4899-a49e-f1faa0cab5df,,,Pericarditis,Péricardite,Pericarditis,Péricardite,"Inflammation of the pericardium, the lining around the heart","Inflammation du péricarde, le revêtement autour du cœur",Diagnosis,N/A,,,,,
8dfc8dbb-9b76-41ff-9a66-41183816e4a3,,,Psoriatic Arthritis,Arthrite psoriasique,Psoriatic Arthritis,Arthrite psoriasique,An inflammatory arthritis associated with psoriasis,Une arthrite inflammatoire associée au psoriasis,Diagnosis,N/A,,,,,
dc3878f7-9c15-4977-8adb-944089c24e72,,,Rheumatic Heart Disease,Maladie cardiaque rhumatismale,Rheumatic Heart Disease,Maladie cardiaque rhumatismale,Heart damage resulting from rheumatic fever,Dommages au cœur résultant de la fièvre rhumatismale,Diagnosis,N/A,,,,,
4e83ab17-4e98-4542-89c4-5391437e8f44,,,Rotavirus Infection,Infection par rotavirus,Rotavirus Infection,Infection par rotavirus,"A viral infection that causes severe diarrhea, mostly in children","Une infection virale provoquant une diarrhée sévère, surtout chez les enfants",Diagnosis,N/A,,,,,
a2e3a391-47b2-4d44-9636-9ffe23ddd1aa,,,Schizophrenia,Schizophrénie,Schizophrenia,Schizophrénie,A chronic mental disorder characterized by distorted thinking and perception,Un trouble mental chronique caractérisé par une pensée et une perception déformées,Diagnosis,N/A,,,,,
f63101b9-3089-4b3a-8040-c4571fbf6d36,,,Scleroderma,Sclérodermie,Scleroderma,Sclérodermie,A group of autoimmune diseases that cause the skin and connective tissues to harden,Un groupe de maladies auto-immunes qui provoquent un durcissement de la peau et des tissus conjonctifs,Diagnosis,N/A,,,,,
97999dd9-6864-4026-b02a-28ae05b46b6f,,,Seasonal Allergic Rhinitis,Rhinite allergique saisonnière,Seasonal Allergic Rhinitis,Rhinites allergique saisonnière,An allergic reaction that occurs at certain times of the year due to allergens like pollen,Une réaction allergique qui se produit à certaines périodes de l'année à cause d'allergènes comme le pollen,Diagnosis,N/A,,,,,
34a061eb-8f66-4e27-b5de-7c76d2a9b587,,,Syphilis,Syphilis,Syphilis,Syphilis,A sexually transmitted infection that can cause sores and serious health issues if untreated,Une infection sexuellement transmissible qui peut provoquer des lésions et des problèmes de santé graves si non traitée,Diagnosis,N/A,,,,,
66529c45-139b-4e8d-9f36-13697bb8dc81,,,Tinea Versicolor,Teigne versicolor,Tinea Versicolor,Teigne versicolor,A fungal skin infection causing discolored patches on the skin,Une infection fongique de la peau provoquant des zones décolorées sur la peau,Diagnosis,N/A,,,,,
6138d12e-e977-436d-ae08-9330bd1ae2df,,,Trichomoniasis,Trichomonase,Trichomoniasis,Trichomonase,A sexually transmitted infection caused by the parasite Trichomonas vaginalis,Une infection sexuellement transmissible causée par le parasite Trichomonas vaginalis,Diagnosis,N/A,,,,,
5dd59f86-f9b7-4e0f-887d-320920a2e48f,,,Urinary Tract Infection (UTI),Infection urinaire,UTI,IU,"An infection in any part of the urinary system, including kidneys, bladder, or urethra","Une infection dans n'importe quelle partie du système urinaire, y compris les reins, la vessie ou l'urètre",Diagnosis,N/A,,,,,
b2ee55ab-37ba-45ec-b58e-84f73abf09b0,,,Varicose Veins,Varices,Varicose Veins,Varices,"Swollen, twisted veins that are visible just beneath the surface of the skin",Veines enflées et tortueuses visibles juste sous la surface de la peau,Diagnosis,N/A,,,,,
761b64d4-2f8d-400f-b7dd-32630ff94e37,,,Vitamin D Deficiency,Carence en vitamine D,Vitamin D Deficiency,Carence en vitamine D,"A condition resulting from inadequate levels of vitamin D, leading to bone pain and muscle weakness","Une condition résultant de niveaux insuffisants de vitamine D, entraînant des douleurs osseuses et une faiblesse musculaire",Diagnosis,N/A,,,,,
043474fd-f087-4b24-a917-6267fe58aa81,,,Wilson’s Disease,Maladie de Wilson,Wilson’s Disease,Maladie de Wilson,A genetic disorder that causes excessive copper buildup in the body,Un trouble génétique qui entraîne une accumulation excessive de cuivre dans le corps,Diagnosis,N/A,,,,,
b4184125-17f9-4cb7-900d-d2dff2bc0cf3,,,Abdominal Aortic Aneurysm,Anévrisme de l'aorte abdominale,Abdominal Aortic Aneurysm,Anévrisme de l'aorte abdominale,An enlargement in the lower part of the aorta that can lead to rupture,Un agrandissement dans la partie inférieure de l'aorte qui peut conduire à une rupture,Diagnosis,N/A,,,,,
a207a36b-97ad-48fd-84d5-f110896b344f,,,Acute Respiratory Distress Syndrome (ARDS),Syndrome de détresse respiratoire aiguë,ARDS,SDRA,A severe lung condition that causes breathing difficulty and low blood oxygen levels,Une grave affection pulmonaire qui provoque des difficultés respiratoires et des niveaux faibles d'oxygène dans le sang,Diagnosis,N/A,,,,,
13c19d66-8fff-4863-8484-2274bf5c9575,,,Addison’s Disease,Maladie d'Addison,Addison’s Disease,Maladie d'Addison,A disorder in which the adrenal glands do not produce enough hormones,Un trouble dans lequel les glandes surrénales ne produisent pas suffisamment d'hormones,Diagnosis,N/A,,,,,
33ec9cb8-9998-40ae-8c13-8623b9c170ec,,,Amyotrophic Lateral Sclerosis (ALS),Sclérose latérale amyotrophique,ALS,SLA,A progressive neurodegenerative disease that affects nerve cells in the brain and spinal cord,Une maladie neurodégénérative progressive qui affecte les cellules nerveuses dans le cerveau et la moelle épinière,Diagnosis,N/A,,,,,
35ae2bd7-9b84-413f-9391-be65aab5c29e,,,Anorexia Nervosa,Anorexie nerveuse,Anorexia Nervosa,Anorexie nerveuse,An eating disorder characterized by an intense fear of gaining weight and a distorted body image,Un trouble alimentaire caractérisé par une peur intense de prendre du poids et une image corporelle déformée,Diagnosis,N/A,,,,,
a3607f6d-f1cf-4298-836b-2b7db0d0815b,,,Astigmatism,Astigmatisme,Astigmatism,Astigmatisme,A common vision condition caused by an irregular shape of the cornea or lens,Une condition visuelle courante causée par une forme irrégulière de la cornée ou du cristallin,Diagnosis,N/A,,,,,
5737cd2d-a5c0-4165-b2ad-dc3056a203b3,,,Bell’s Palsy,Paralysie de Bell,Bell’s Palsy,Paralysie de Bell,"A sudden, temporary weakness or paralysis of the facial muscles on one side of the face",Une faiblesse ou paralysie soudaine et temporaire des muscles faciaux d'un côté du visage,Diagnosis,N/A,,,,,
048f4102-a93a-406f-b398-25840450484b,,,Carpal Tunnel Syndrome,Syndrome du canal carpien,Carpal Tunnel Syndrome,Syndrome du canal carpien,"A condition caused by pressure on the median nerve in the wrist, leading to pain and numbness","Une condition causée par une pression sur le nerf médian dans le poignet, entraînant douleur et engourdissement",Diagnosis,N/A,,,,,
38781065-a26f-4cee-bcbe-43d6d94ca999,,,Cholesterol Metabolism Disorder,Trouble du métabolisme du cholestérol,Cholesterol Disorder,Trouble du cholestérol,Disorders affecting the way cholesterol is processed in the body,Troubles affectant la façon dont le cholestérol est traité dans le corps,Diagnosis,N/A,,,,,
2a163d12-664c-49cc-a8f0-af91dacd60ba,,,Chronic Bronchitis,Bronchite chronique,Chronic Bronchitis,Bronchite chronique,A long-term inflammation of the bronchial tubes causing cough and mucus production,Une inflammation prolongée des bronches provoquant une toux et une production de mucus,Diagnosis,N/A,,,,,
4d07ad67-e2c0-41de-b9af-ef4bae280c30,,,Chronic Fatigue Syndrome,Syndrome de fatigue chronique,Chronic Fatigue,Fatigue chronique,A complex disorder characterized by profound fatigue not improved by rest,Un trouble complexe caractérisé par une fatigue profonde non améliorée par le repos,Diagnosis,N/A,,,,,
f6eb8e4b-c8d5-498d-9d4f-713b5a524df5,,,Congenital Heart Defect,Défaut cardiaque congénital,Congenital Heart Defect,Défaut cardiaque congénital,A range of structural heart abnormalities present at birth,Une gamme d'anomalies cardiaques structurelles présentes à la naissance,Diagnosis,N/A,,,,,
96cd278b-8753-4b88-a3f0-c11a8d5a6bfc,,,Congenital Hypothyroidism,Hypothyroïdie congénitale,Congenital Hypothyroidism,Hypothyroïdie congénitale,A condition present at birth where the thyroid gland does not produce enough hormones,Une condition présente à la naissance où la glande thyroïdienne ne produit pas suffisamment d'hormones,Diagnosis,N/A,,,,,
9b828b53-b9a8-454b-821e-d0a9438a80c8,,,Cystitis,Cystite,Cystitis,Cystite,"Inflammation of the bladder, often caused by infection","Inflammation de la vessie, souvent causée par une infection",Diagnosis,N/A,,,,,
76b6351e-2414-4665-85c4-68948ed4edc8,,,Deep Vein Thrombosis (DVT),Thrombose veineuse profonde,DVT,TVP,"A condition where a blood clot forms in a deep vein, usually in the legs","Une condition où un caillot sanguin se forme dans une veine profonde, généralement dans les jambes",Diagnosis,N/A,,,,,
ea91d8ee-52d9-471d-8984-572285a5214d,,,Dermatitis,Dermatite,Dermatitis,Dermatite,"Inflammation of the skin causing redness, itching, and swelling","Inflammation de la peau provoquant rougeur, démangeaisons et gonflement",Diagnosis,N/A,,,,,
e9d91057-b9b6-4965-b851-4d13a16fe9fe,,,Diverticulitis,Diverticulite,Diverticulitis,Diverticulite,Inflammation or infection of small pouches in the digestive tract,Inflammation ou infection de petites poches dans le tractus digestif,Diagnosis,N/A,,,,,
03aa0cb4-4b5d-4e49-9906-12fb1c73f4de,,,Endometriosis,Endométriose,Endometriosis,Endométriose,A disorder where tissue similar to the lining of the uterus grows outside it,Un trouble où un tissu similaire à celui de la paroi de l'utérus se développe à l'extérieur,Diagnosis,N/A,,,,,
c183bd7a-9f86-4e42-904b-59a39c3ed2a2,,,Epilepsy,Épilepsie,Epilepsy,Épilepsie,"A neurological disorder marked by recurrent, unprovoked seizures",Un trouble neurologique marqué par des crises récurrentes et non provoquées,Diagnosis,N/A,,,,,
3383c521-56c6-4012-b2f2-1c40006c6bd5,,,Fibroid Tumors,Fibromes,Fibroid Tumors,Fibromes,Non-cancerous tumors of the uterus that can cause pain and heavy bleeding,Tumeurs non cancéreuses de l'utérus pouvant provoquer douleur et saignements abondants,Diagnosis,N/A,,,,,
0fc91c6a-9680-41fa-8058-bf6bd8e7c5ee,,,Gallbladder Disease,Maladie de la vésicule biliaire,Gallbladder Disease,Maladie de la vésicule biliaire,"Conditions affecting the gallbladder, including gallstones and inflammation","Conditions affectant la vésicule biliaire, y compris les calculs biliaires et l'inflammation",Diagnosis,N/A,,,,,
a5acf8a5-d80d-4d24-8955-6a2b8f7619a8,,,Gastroesophageal Reflux Disease (GERD),Reflux gastro-œsophagien,GERD,RGO,A digestive disorder where stomach acid frequently flows back into the esophagus,Un trouble digestif où l'acide gastrique reflue fréquemment dans l'œsophage,Diagnosis,N/A,,,,,
b80ef26c-1017-411d-9c6d-65c31f1e2abd,,,Glaucoma,Glaucome,Glaucoma,Glaucome,"A group of eye conditions that damage the optic nerve, often associated with high intraocular pressure","Un groupe de conditions oculaires qui endommagent le nerf optique, souvent associé à une pression intraoculaire élevée",Diagnosis,N/A,,,,,
9fecc51b-48d3-4cec-b3a2-7603e7baed88,,,Hemophilia,Hémophilie,Hemophilia,Hémophilie,A genetic disorder that impairs the blood’s ability to clot properly,Un trouble génétique qui altère la capacité du sang à coaguler correctement,Diagnosis,N/A,,,,,
6620cffe-26d0-40c3-9241-6bd78b31f96b,,,Herpes Zoster (Shingles),Zona,Herpes Zoster,Zona,"A viral infection caused by the varicella-zoster virus, causing a painful rash","Une infection virale causée par le virus varicelle-zona, provoquant une éruption cutanée douloureuse",Diagnosis,N/A,,,,,
6e4887ab-29c0-4bd3-8416-0fb43a0f00cd,,,Hyperparathyroidism,Hyperparathyroïdie,Hyperparathyroidism,Hyperparathyroïdie,"An overproduction of parathyroid hormone, leading to high calcium levels in the blood","Une surproduction d'hormone parathyroïdienne, entraînant des niveaux élevés de calcium dans le sang",Diagnosis,N/A,,,,,
066e8f79-d612-4ea1-9f6f-96dd667c393b,,,Hypoparathyroidism,Hypoparathyroïdie,Hypoparathyroidism,Hypoparathyroïdie,"A condition in which the parathyroid glands produce too little hormone, leading to low calcium levels","Une condition où les glandes parathyroïdiennes produisent trop peu d'hormone, entraînant des niveaux faibles de calcium",Diagnosis,N/A,,,,,
f9cb1ff1-397f-4c31-ba71-7fb17979e4dc,,,Idiopathic Pulmonary Fibrosis,Fibrose pulmonaire idiopathique,IPF,FPI,A chronic lung disease that causes scarring of the lung tissue,Une maladie pulmonaire chronique qui provoque la cicatrisation du tissu pulmonaire,Diagnosis,N/A,,,,,
0febad77-ffac-4f44-8ade-3335fc96d839,,,Inflammatory Bowel Disease (IBD),Maladie inflammatoire de l'intestin,IBD,MII,"A group of disorders causing inflammation of the digestive tract, including Crohn's disease and ulcerative colitis","Un groupe de troubles provoquant une inflammation du tractus digestif, y compris la maladie de Crohn et la colite ulcéreuse",Diagnosis,N/A,,,,,
b9a3396d-787b-441f-94fc-ab0b7b00de01,,,Iron Deficiency Anemia,Anémie ferriprive,Iron Deficiency Anemia,Anémie ferriprive,A type of anemia resulting from a lack of iron in the body,Un type d'anémie résultant d'un manque de fer dans le corps,Diagnosis,N/A,,,,,
